message,true_label,predicted,filename,correct
"Is it possible to login as root with GDM3?I've just replaced gdm with gdm3 and find that it doesn't seem to be
possible to login as root any more. Does anyone know if this can be
enabled?

The old login screen settings included lots of options including 'allow
administrator login'. The new version has very few options.

-- 
Tixy               ()  The ASCII Ribbon Campaign (www.asciiribbon.org)
                   /\  Against HTML e-mail and proprietary attachments


-- 
To UNSUBSCRIBE, email to debian-user-REQUEST@lists.debian.org 
with a subject of ""unsubscribe"". Trouble? Contact listmaster@lists.debian.org
Archive: http://lists.debian.org/1274381021.3359.7.camel@computer2.home",ham,scam,TRAIN_03067.eml.txt,False
"Re: [SAtalk] O.T. Habeus -- Why?On Wednesday 28 August 2002 04:38 pm, Daniel Quinlan wrote:
> Matthew Cline  writes:
> > There must be *some* way of tracking a spammer down, since they are
> > planning on making money from the spam.  What a court would consider
> > evidence of being the spammer is another question.

> Haha!!!

> Just a few notes:

>  - It will be difficult to find, prosecute, and win money from someone
>    in various non-friendly countries where spam originates (China is a
>    good example) even if they do officially ""respect"" copyright law.

SA (and other filters) could be configured to ignore the SWE mark if it 
appears to come from/through China.

>  - Spammers do not always remember to include contact information!  I
>    don't understand it either, but nobody said they were bright.  Also,
>    some spam is non-commercial or sent by a third-party (for example,
>    ""pump and dump"" stock scams), so contact information is not strictly
>    required for the spammer to get their way.

SA could also be configured so that SWE marks are ignored in messages that 
look like third-party spam (like stock scams).  Of course, this would still 
mean that ""The U.N. is going to invade America!"" spams with SWE would get 
through.  Probably also need to ignore SWE in messages that look like 
Nigerian scams.

-- 
Give a man a match, and he'll be warm for a minute, but set him on
fire, and he'll be warm for the rest of his life.

ICQ: 132152059 | Advanced SPAM filtering software: http://spamassassin.org


-------------------------------------------------------
This sf.net email is sponsored by: Jabber - The world's fastest growing 
real-time communications platform! Don't just IM. Build it in! 
http://www.jabber.com/osdn/xim
_______________________________________________
Spamassassin-talk mailing list
Spamassassin-talk@lists.sourceforge.net
https://lists.sourceforge.net/lists/listinfo/spamassassin-talk",ham,scam,TRAIN_04179.eml.txt,False
"RE: [Razor-users] Reducing impact from tons of emailSee your /etc/sendmail.cf file, there are a number of methods for limiting
the number of concurrent sendmail processes, either by load average (I'm
sure), or concurrency (I think)... I use sendmail anymore (I use qmail) but
I'm sure that if you look in the config file, you will see what you need...

Regards,
Adam

> -----Original Message-----
> From: razor-users-admin@example.sourceforge.net
> [mailto:razor-users-admin@lists.sourceforge.net]On Behalf Of Joe Berry
> Sent: Sunday, 25 August 2002 1:44 PM
> To: razor-users@example.sourceforge.net
> Subject: [Razor-users] Reducing impact from tons of email
>
>
> I'm not sure if this is really a razor problem/issue or a sendmail
> problem. Here's the scenario... My mail server is a 150mhz PC funning
> FreeBSD 4.4. Ordinarily, the machine is quite idle; it supports my
> wife's web site with Apache server running on it and a few other
> services (jabber, etc). Between the various members of our family, we
> get a fair amount of email coming in (mailing lists, etc). On
> occasion, our DSL-based ISP dies for a number of hours. When we get a
> reconnection to the Internet, I get a huge flow of emails coming in
> which are then filtered via razor. As a result, I will sometimes see
> over 20+ sendmail processes running at the same time after such an
> occasion. The machine is then REALLY slow.
>
> I noticed that my /etc/procmailrc file had had no arguments associated
> with the call to razor-check. There was something in the log, though,
> to make me suspicious that it was possibly not seeing all my razor
> files. So I have just added ""-home /etc/razor"" as an argument. I
> haven't had any down time since then so I cannot comment on whether
> this change has sped up my razor processing a noticable amount. (This
> paragraph may be an aside to my real problem, the first paragraph
> above; but I thought I should be complete in my description.)
>
> At any rate, has anyone else suffered from a backlog of email
> processing creating lots and lots of sendmail processes?  Is there,
> perhaps, a way to limit the number of sendmail processes?
>
> Any ideas would be welcome.
>
> Thanks,
> Joe
> ---
> Joe Berry
> joe@topshot.com
> AIM ""joe topshot""
> Yahoo Msgr ""joetopshot""
> jabber ""joetopshot@topshot.com""
> Baltimore, MD
>
>
>
> -------------------------------------------------------
> This sf.net email is sponsored by: OSDN - Tired of that same old
> cell phone?  Get a new here for FREE!
> https://www.inphonic.com/r.asp?r=sourceforge1&refcode1;=vs3390
> _______________________________________________
> Razor-users mailing list
> Razor-users@lists.sourceforge.net
> https://lists.sourceforge.net/lists/listinfo/razor-users
>



-------------------------------------------------------
This sf.net email is sponsored by: OSDN - Tired of that same old
cell phone?  Get a new here for FREE!
https://www.inphonic.com/r.asp?r=sourceforge1&refcode1;=vs3390
_______________________________________________
Razor-users mailing list
Razor-users@lists.sourceforge.net
https://lists.sourceforge.net/lists/listinfo/razor-users",ham,spam,TRAIN_01424.eml.txt,False
"iSight - setFrameRateHi all,

with respect to my problem that the video callback is triggered more =
often than I want to (see below) I had a guess that it is related to the =
device frame rate. In that context I tried to set the frame rate of my =
inbuilt iSight to 1 and SGGetFrameRate did confirm this:=20

  err =3D SGSetFrameRate(videoData->sgchanVideo,IntToFixed(1));
  Fixed *frameRate;
  SGGetFrameRate(videoData->sgchanVideo,frameRate);
  int rate =3D FixedToInt(*frameRate);
  cout << ""FrameRate: "" << rate << endl;  //// PLOTS 1 WHEN EXECUTING

However, when I execute the app the frame size is much higher (I guess =
30 fps or more). I saw an older post from 2007, which dealt with the =
same problem of not being able to set the inbuilt iChat frame rate but =
nobody replied. Does anyone have a guess how to approach this problem ?

Thanks in advance

-- A l e x


***********************************
Hi all,

I have a thread, which triggers the SGIdle call according to my desired =
frame rate:

void video::run(){
 while (running){
   sj->dFC->videoBlocker->lock();
   sj->dFC->videoWaiter->wait(sj->dFC->videoBlocker);

   err =3D SGIdle(videoData->seqGrab);
   usleep(1000000/1);   //// FRAMERATE

   sj->dFC->videoBlocker->unlock();
 }
}

In this example the thread waits for 1 second before executing the next =
time, which results in a frame rate of 1 fps. However, I discovered some =
 strange system behavior, which forced me to verify if this is really =
the case: I applied a time measurement between each data proc function =
call and in fact it is executed 4 more times ins between in approx. 250 =
microsecond intervals. In the following I have plotted the measured =
interval times in ms:

1000.38
0.026
0.023
0.024
0.027
1002.55
0.025
0.026
0.022
0.021
1002.61
0.026
0.021
0.02
0.024
1002.54
0.026
0.023
0.024
0.02
1000.18
0.026
0.137
0.025
0.024

etc .... and so forth. This is actually not happening when I reside =
above a framerate of 25 fps. Can anyone tell me why this is happening =
and how I can prevent this to happen ?=20

Thanks a lot in advance, best

-- A l e x
 _______________________________________________
Do not post admin requests to the list. They will be ignored.
QuickTime-API mailing list      (QuickTime-API@lists.apple.com)
Help/Unsubscribe/Update your Subscription:
http://lists.apple.com/mailman/options/quicktime-api/mlsubscriber.tech%40csmining.org

This email sent to mlsubscriber.tech@csmining.org",ham,scam,TRAIN_02505.eml.txt,False
"Re: recompiling the kernel with a different version nameOn Wed, Apr 07 2010, Stephen Powell wrote:

> On Wed, 7 Apr 2010 14:54:53 -0400 (EDT), Celejar wrote:
>> On Wed, 7 Apr 2010 13:48:18 -0400 (EDT), Stephen Powell wrote:
>>>
>>> ...
>>>
>>> Note: you must always issue ""make-kpkg clean"" after running ""make menuconfig""
>>> or after running ""make-kpkg"" with any target other than ""clean"".  Otherwise,
>>> version and revision numbers will not work as expected.  Assuming that you
>> 
>> Are you sure that this is currently required?  From the changelog:
>> 
>> kernel-package (12.016) unstable; urgency=low
>> 
>>   * [4df65e7]: Remove obsolete warnings about running make-clean
>>     With the new facility to regenerate ./debian, all the old strictures
>>     about running make clean after anything that might change the version
>>     number have beenmade obsolete, so remove from man page.  
>>     Bug fix: ""Is the --append-to-version section still accurate?"", thanks
>>     to Frédéric Brière. Short answer: No.                  (Closes: #534743).
>> 
>>  -- Manoj Srivastava   Sun, 28 Jun 2009 15:31:12 -0500
>
> I must confess I did not look at the change log.  But the README file
> (/usr/share/doc/kernel-package/README.gz) still documents it as necessary.
> As to whether this is out of date or not, I do not know.
> But there is one thing I *do* know: the --revision flag he was using was
> not taking effect, as evidenced by the name of the package file produced.
> And I also know that when I use ""make-kpkg clean"" before building the kernel
> package, I never have any trouble.  Note also that the comment above talks
> about changing the version number, not the revision number.  They aren't
> the same.

        The README is out of date. I'll try and remember to fix this
 (feel free to file a bug report to remind me). 

        I am not sure why the revision flag was not taking effect (I
 have not had time to look into the mails yet), but the +drm3 is coming
 from the kernel code (something is setting .localversions or the ilk).

        manoj
-- 
Guard against physical unruliness. Be restrained in body. Abandoning
physical wrong doing, lead a life of physical well doing. 231
Manoj Srivastava    
4096R/C5779A1C E37E 5EC5 2A01 DA25 AD20  05B6 CF48 9438 C577 9A1C


-- 
To UNSUBSCRIBE, email to debian-user-REQUEST@lists.debian.org 
with a subject of ""unsubscribe"". Trouble? Contact listmaster@lists.debian.org
Archive: http://lists.debian.org/877hojkm99.fsf@anzu.internal.golden-gryphon.com",ham,spam,TRAIN_03053.eml.txt,False
"Make a Fortune On eBay                         24772



""eBay - #1 Rated Work A=
t Home Business 
        Opportunity""
        - PC Magazine
Fortunes are literally being=
 made in 
        this great new marketplace!
Over $=
9 Billion 
        in merchandise was sold on eBay in 2001 by people just like=
 you 
        - right from their homes.
Now you too can learn the secrets=
 of successful 
        selling on eBay and make a staggering income fro=
m the 
        comfort of your own home. If you are motivated, capa=
ble 
        of having an open mind, and can follow simple directions, t=
hen 
        visit us here.<=
/font>
 We are strongly against sendin=
g unsolicited 
        emails to those who do not wish to receive our special mailings. Y=
ou have 
        opted in to one or more of our affiliate sites requesting to be no=
tified 
        of any special offers we may run from time to time. We also have a=
ttained 
        the services of an independent 3rd party to overlook list manageme=
nt and 
        removal services. This is NOT unsolicited email. If you do not wis=
h to 
        receive further mailings, please GO 
        HERE to be removed from the list. Please accept our apologies =
if you 
        have been sent this email in error. 



 
  
 
  



charset=3Diso-8859-1"">",ham,scam,TRAIN_01037.eml.txt,False
"Re: OOwriter always hangs, and then quits unexpectedly when images  are copied (copy/paste) from a website-----BEGIN PGP SIGNED MESSAGE-----
Hash: SHA1

Ron Johnson  writes:

> On 05/09/2010 03:49 PM, Merciadri Luca wrote:
>> Ron Johnson wrote:
>>> I just opened a new Writer 3.2.0-9+b1 document then selected the
>>> ""title image"" http://i.space.com/images/080702-voyager-01.jpg from
>>> http://www.space.com/missionlaunches/nasa-tracking-voyager2-problem-100506.html
>>> and pasted it into the document.
>> I am using OO 2.4.1.
>
> That's *really* old.  If you run Stable, then you should deinstall it
> and get binaries from http://www.go-oo.org
Ok. I will do it. Would it be that?

>>                       Take for example
>> http://en.wikipedia.org/wiki/California.
>
> Still works, although OOo doesn't seem to know how to handle svg
> documents.
Lucky you, but it must be because of the version. Note that it does
not _always_ hang here, that's purely random.
- -- 
Merciadri Luca
See http://www.student.montefiore.ulg.ac.be/~merciadri/
- -- 

Doing your best is more important than being the best.
-----BEGIN PGP SIGNATURE-----
Version: GnuPG v1.4.9 (GNU/Linux)
Comment: Processed by Mailcrypt 3.5.8 

iEYEARECAAYFAkvnpk4ACgkQM0LLzLt8MhxIRgCgpyA4SFf/MfurhnGOmWzxQDGg
DskAn1EHVibym50njR1Aa7S/m0mtvXHp
=PX5u
-----END PGP SIGNATURE-----


-- 
To UNSUBSCRIBE, email to debian-user-REQUEST@lists.debian.org 
with a subject of ""unsubscribe"". Trouble? Contact listmaster@lists.debian.org
Archive: http://lists.debian.org/87hbmgmg1d.fsf@merciadriluca-station.MERCIADRILUCA",ham,scam,TRAIN_00029.eml.txt,False
"Re: notification barOn Mon, 10 May 2010 07:42:33 -0700, Mark wrote:

> On Mon, May 10, 2010 at 1:28 AM, Camaleón wrote:
> 
> 
>> AFAIK, in Lenny, the updater icon only appears in system tray when
>> security patches are available.
>>
> I'm running Lenny and the updater icon alerts me for program updates,
> etc., as well as security updates.

Unless I'm wrong, lenny does not get package updates for newer versions 
of programs, only patches for bugs.

What repositories do you have enabled in your ""/etc/apt/sources.list""? :-?

Greetings,

-- 
Camaleón


-- 
To UNSUBSCRIBE, email to debian-user-REQUEST@lists.debian.org 
with a subject of ""unsubscribe"". Trouble? Contact listmaster@lists.debian.org
Archive: http://lists.debian.org/pan.2010.05.10.14.50.47@csmining.org",ham,spam,TRAIN_01299.eml.txt,False
"Re: downloaded .jnlp won't opengodo wrote:
> On 04/27/2010 06:36 PM, John O Laoi wrote:
>>> Does some of this errors sad something like ""there is no network""?
>>
>> Yes, they always say
>> ""Unable to load resource:""
>>
>>
> cat /proc/sys/net/ipv6/bindv6only
> if output is 1 then:
> echo 0 > /proc/sys/net/ipv6/bindv6only

That's not bad either ;-)

Hugo


-- 
To UNSUBSCRIBE, email to debian-user-REQUEST@lists.debian.org 
with a subject of ""unsubscribe"". Trouble? Contact listmaster@lists.debian.org
Archive: http://lists.debian.org/hr7gao$sde$2@dough.gmane.org",ham,scam,TRAIN_03505.eml.txt,False
"Re: Linux compatible mainboards -another thoughtOn Wed, 21 Apr 2010 12:44:38 -0500, Ron Johnson wrote:

> On 2010-04-21 12:22, Camaleón wrote: [snip]
>> 
>> For GeForce 7600GS you have the following options:
>> 
>> 1/ ""nv"" driver (only 2-D)
> 
> Except that Nvidia deprecated this driver a few weeks ago...

... only for ""newer"" (fermi) cards ;-)

>> 2/ ""nvidia"" driver from Debian ""contrib"" and ""non-free"" sources 3/
>> ""nvidia"" driver from nvidia website 4/ VESA driver (not recommended)
> 
> ... and recommended people use the vesa driver.

Yes, how bad :-(
 
> nv obviously won't immediately stop working, but as x.org releases new
> versions of the client and server, bit-rot will inevitably set in.

I agree. I guess from now on nvidia will be pushing their own proprietary 
drivers.
 
>> I am currently using option #2 for my GeForce 7600GS in Debian lenny
>> and works pretty well.
>> 
>> 
> I use #3 with a 7300GS in a mixed 32/64-bit environment (totally
> unsupported by Nvidia, but works like a charm).

I find it a bit more difficult to manage (if you change the kernel, you 
need to recompile the driver again).

Greetings,

-- 
Camaleón


-- 
To UNSUBSCRIBE, email to debian-user-REQUEST@lists.debian.org 
with a subject of ""unsubscribe"". Trouble? Contact listmaster@lists.debian.org
Archive: http://lists.debian.org/pan.2010.04.21.18.04.01@csmining.org",ham,scam,TRAIN_00453.eml.txt,False
